,name,bid,vat_number
0,Loviisa,0203263-9,FI02032639
0,Luhanka,0176592-9,FI01765929
0,Lumijoki,0186580-7,FI01865807
0,Lumparland,0205038-6,FI02050386
0,Luoto,0180857-0,FI01808570
0,Luumäki,0162631-2,FI01626312
0,Maalahti,0180948-5,FI01809485
0,Maarianhamina,0205071-4,FI02050714
0,Marttila,0135086-2,FI01350862
0,Masku,0204064-7,FI02040647
0,Merijärvi,0186588-2,FI01865882
0,Merikarvia,0135202-4,FI01352024
0,Miehikkälä,0162675-0,FI01626750
0,Mikkeli,0165116-3,FI01651163
0,Muhos,0186646-3,FI01866463
0,Multia,0208471-1,FI02084711
0,Muonio,0191824-3,FI01918243
0,Mustasaari,0181101-6,FI01811016
0,Muurame,0176699-9,FI01766999
0,Mynämäki,2048364-4,FI20483644
0,Myrskylä,0203282-3,FI02032823
0,Mäntsälä,0129261-5,FI01292615
0,Mänttä-Vilppula,0157867-2,FI01578672
0,Mäntyharju,0165761-0,FI01657610
0,Naantali,0135457-2,FI01354572
0,Nakkila,0135662-3,FI01356623
0,Nivala,0186757-0,FI01867570
0,Nokia,0205717-4,FI02057174
0,Nousiainen,0135821-5,FI01358215
0,Nurmes,0207669-0,FI02076690
0,Nurmijärvi,9014643-2,FI90146432
0,Närpiö,0181367-9,FI01813679
0,Orimattila,0129920-0,FI01299200
0,Oripää,0135869-6,FI01358696
0,Orivesi,0151789-6,FI01517896
0,Oulainen,0186852-2,FI01868522
0,Oulu,0187690-1,FI01876901
0,Outokumpu,0207604-1,FI02076041
0,Padasjoki,0151924-2,FI01519242
0,Paimio,0136169-2,FI01361692
0,Paltamo,0188808-0,FI01888080
0,Parainen,9038213-6,FI90382136
0,Parikkala,1913642-6,FI19136426
0,Parkano,0136311-0,FI01363110
0,Pedersören kunta,0198517-1,FI01985171
0,Pelkosenniemi,0191866-5,FI01918665
0,Pello,0193729-2,FI01937292
0,Perho,0181464-7,FI01814647
0,Pertunmaa,0165867-2,FI01658672
0,Petäjävesi,0176769-2,FI01767692
0,Pieksämäki,2048903-4,FI20489034
0,Pielavesi,0172446-5,FI01724465
0,Pietarsaari,0172446-5,FI01724465
0,Pihtipudas,0243027-4,FI02430274
0,Pirkkala,0152084-1,FI01520841
0,Polvijärvi,0169823-6,FI01698236
0,Pomarkku,0136610-0,FI01366100
0,Pori,0137323-9,FI01373239
0,Pornainen,0130095-3,FI01300953
0,Porvoo,1061512-1,FI10615121
0,Posio,0191908-6,FI01919086
0,Pudasjärvi,0188962-2,FI01889622
0,Pukkila,0130729-0,FI01307290
0,Punkalaidun,0138037-5,FI01380375
0,Puolanka,0189081-8,FI01890818
0,Puumala,0166400-1,FI01664001
0,Pyhtää,0162798-0,FI01627980
0,Pyhäjoki,0189127-1,FI01891271
0,Pyhäjärvi,0210261-7,FI02102617
0,Pyhäntä,0189226-6,FI01892266
0,Pyhäranta,0204403-1,FI02044031
0,Pälkäne,2050961-3,FI20509613
0,Pöytyä,1929519-5,FI19295195
0,Raahe,1791817-6,FI17918176
0,Raasepori,0131297-0,FI01312970
0,Raisio,0204428-5,FI02044285
0,Rantasalmi,0166507-1,FI01665071
0,Ranua,0191974-8,FI01919748
0,Rauma,0138780-9,FI01387809
0,Rautalampi,0172586-3,FI01725863
0,Rautavaara,0172646-0,FI01726460
0,Rautjärvi,0206951-1,FI02069511
0,Reisjärvi,0189548-3,FI01895483
0,Riihimäki,0152563-4,FI01525634
0,Ristijärvi,0189576-6,FI01895766
0,Rovaniemi,1978283-1,FI19782831
0,Ruokolahti,0163013-5,FI01630135
0,Ruovesi,0152842-1,FI01528421
0,Rusko,0204524-5,FI02045245
0,Rääkkylä,0169967-7,FI01699677
0,Saarijärvi,0176975-1,FI01769751
0,Salla,0192936-4,FI01929364
0,Salo,0139991-4,FI01399914
0,Saltvik,0205119-4,FI02051194
0,Sastamala,0144411-3,FI01444113
0,Sauvo,9038213-6,FI90382136
0,Savitaipale,0163109-0,FI01631090
0,Savonlinna,0166906-4,FI01669064
0,Savukoski,0210704-7,FI02107047
0,Seinäjoki,0210704-7,FI02107047
0,Sievi,0189615-2,FI01896152
0,Siikainen,0139842-8,FI01398428
0,Siikajoki,2047359-3,FI20473593
0,Siikalatva,0189019-9,FI01890199
0,Siilinjärvi,0172718-0,FI01727180
0,Simo,0193015-4,FI01930154
0,Sipoo,0193015-4,FI01930154
0,Siuntio,0131156-4,FI01311564
0,Sodankylä,0193169-1,FI01931691
0,Soini,0182637-3,FI01826373
0,Somero,0153082-0,FI01530820
0,Sonkajärvi,9090160-2,FI90901602
0,Sotkamo,0189766-5,FI01897665
0,Sottunga,0205121-5,FI02051215
0,Sulkava,0167265-0,FI01672650
0,Sund,0205125-8,FI02051258
0,Suomussalmi,0189925-7,FI01899257
0,Suonenjoki,0208061-4,FI02080614
0,Sysmä,0167352-2,FI01673522
0,Säkylä,0139937-5,FI01399375
0,Taipalsaari,0163320-5,FI01633205
0,Taivalkoski,0190100-3,FI01901003
0,Taivassalo,0139991-4,FI01399914
0,Tammela,0153179-4,FI01531794
0,Tampere,0211675-2,FI02116752
0,Tervo,0173081-4,FI01730814
0,Tervola,0193249-1,FI01932491
0,Teuva,0182734-1,FI01827341
0,Tohmajärvi,1919717-3,FI19197173
0,Toholampi,0182779-8,FI01827798
0,Toivakka,0177201-0,FI01772010
0,Tornio,0193524-6,FI01935246
0,Turku,9038213-6,FI90382136
0,Tuusniemi,0173128-6,FI01731286
0,Tuusula,0131661-3,FI01316613
0,Tyrnävä,0190140-9,FI01901409
0,Ulvila,0204910-7,FI02049107
0,Urjala,0157323-0,FI01573230
0,Utajärvi,0190224-1,FI01902241
0,Utsjoki,9129466-4,FI91294664
0,Uurainen,0177224-8,FI01772248
0,Uusikaarlepyy,0183077-8,FI01830778
0,Uusikaupunki,0144036-6,FI01440366
0,Vaala,0190027-0,FI01900270
0,Vaasa,0190027-0,FI01900270
0,Valkeakoski,0157568-2,FI01575682
0,Vantaa,0124610-9,FI01246109
0,Varkaus,0173416-1,FI01734161
0,Vehmaa,0144561-8,FI01445618
0,Vesanto,0173787-2,FI01737872
0,Vesilahti,0157711-9,FI01577119
0,Veteli,0184278-7,FI01842787
0,Vieremä,0173835-7,FI01738357
0,Vihti,0131905-6,FI01319056
0,Viitasaari,0208573-0,FI02085730
0,Vimpeli,0184318-1,FI01843181
0,Virolahti,0207033-6,FI02070336
0,Virrat,0206333-9,FI02063339
0,Vårdö,0205126-6,FI02051266
0,Vöyri,2050514-5,FI20505145
0,Ylitornio,0210826-9,FI02108269
0,Ylivieska,0190557-3,FI01905573
0,Ylöjärvi,0158221-7,FI01582217
0,Ypäjä,0158301-7,FI01583017
0,Ähtäri,0184622-7,FI01846227
0,Äänekoski,2045520-5,FI20455205
