,name,bid,vat_number
0,Akaa,2050864-5,FI20508645
0,Alajärvi,0177619-3,FI01776193
0,Alavieska,0184674-5,FI01846745
0,Alavus,0177736-4,FI01777364
0,Asikkala,0145208-4,FI01452084
0,Askola,9000162-0,FI90001620
0,Aura,0132103-3,FI01321033
0,Brändö,0204999-1,FI02049991
0,Eckerö,0144682-1,FI01446821
0,Enonkoski,0163687-9,FI01636879
0,Enontekiö,0190662-1,FI01906621
0,Espoo,0101263-6,FI01012636
0,Eura,0132239-4,FI01322394
0,Eurajoki,0132322-3,FI01323223
0,Evijärvi,0177804-1,FI01778041
0,Finström,0205003-6,FI02050036
0,Forssa,0145626-1,FI01456261
0,Föglö,0282394-0,FI02823940
0,Geta,0205012-4,FI02050124
0,Haapajärvi,0209756-3,FI02097563
0,Haapavesi,0184872-4,FI01848724
0,Hailuoto,0184918-8,FI01849188
0,Halsua,0177826-0,FI01778260
0,Hamina,0242496-6,FI02424966
0,Hammarland,0205014-0,FI02050140
0,Hankasalmi,0174035-0,FI01740350
0,Hanko,0103166-9,FI01031669
0,Harjavalta,0132585-1,FI01325851
0,Hartola,0163734-5,FI01637345
0,Hattula,0145801-3,FI01458013
0,Hausjärvi,0145997-2,FI01459972
0,Heinola,0178718-3,FI01787183
0,Heinävesi,0164308-3,FI01643083
0,Helsinki,0164308-3,FI01643083
0,Hirvensalmi,0164384-1,FI01643841
0,Hollola,0146248-5,FI01462485
0,Huittinen,0203762-4,FI02037624
0,Humppila,0146456-0,FI01464560
0,Hyrynsalmi,0185075-2,FI01850752
0,Hyvinkää,0125866-0,FI01258660
0,Hämeenkyrö,0132947-3,FI01329473
0,Hämeenlinna,0146921-4,FI01469214
0,Ii,2054621-1,FI20546211
0,Iisalmi,9086071-6,FI90860716
0,Iitti,0158766-7,FI01587667
0,Ikaalinen,0203797-4,FI02037974
0,Ilmajoki,0178008-8,FI01780088
0,Ilomantsi,0167589-4,FI01675894
0,Imatra,0159216-7,FI01592167
0,Inari,0190758-7,FI01907587
0,Inkoo,0126293-4,FI01262934
0,Isojoki,0178071-5,FI01780715
0,Isokyrö,0178131-2,FI01781312
0,Janakkala,0147510-4,FI01475104
0,Joensuu,0242746-2,FI02427462
0,Jokioinen,0147645-7,FI01476457
0,Jomala,0205023-9,FI02050239
0,Joroinen,0207112-8,FI02071128
0,Joutsa,0174108-9,FI01741089
0,Juuka,0168654-2,FI01686542
0,Juupajoki,0147705-4,FI01477054
0,Juva,0164551-3,FI01645513
0,Jyväskylä,0174666-4,FI01746664
0,Jämijärvi,0133127-4,FI01331274
0,Jämsä,0175622-1,FI01756221
0,Järvenpää,0126541-4,FI01265414
0,Kaarina,0133226-9,FI01332269
0,Kaavi,0170664-6,FI01706646
0,Kajaani,0214958-9,FI02149589
0,Kalajoki,0185924-7,FI01859247
0,Kangasala,1923299-5,FI19232995
0,Kangasniemi,0164690-3,FI01646903
0,Kankaanpää,0133596-1,FI01335961
0,Kannonkoski,0175798-8,FI01757988
0,Kannus,0178455-6,FI01784556
0,Karijoki,0178498-6,FI01784986
0,Karkkila,0127046-7,FI01270467
0,Karstula,9094917-1,FI90949171
0,Karvia,0133735-0,FI01337350
0,Kaskinen,0208787-5,FI02087875
0,Kauhajoki,0178718-3,FI01787183
0,Kauhava,0208852-8,FI02088528
0,Kauniainen,0203026-2,FI02030262
0,Kaustinen,0178981-6,FI01789816
0,Keitele,0170773-7,FI01707737
0,Kemi,0210427-6,FI02104276
0,Kemijärvi,0191717-9,FI01917179
0,Keminmaa,0210469-8,FI02104698
0,Kemiönsaari,9038213-6,FI90382136
0,Kempele,0186002-9,FI01860029
0,Kerava,0127485-5,FI01274855
0,Keuruu,0208388-2,FI02083882
0,Kihniö,0133862-8,FI01338628
0,Kinnula,0242816-6,FI02428166
0,Kirkkonummi,0203107-0,FI02031070
0,Kitee,0168900-6,FI01689006
0,Kittilä,0191406-6,FI01914066
0,Kiuruvesi,0170843-0,FI01708430
0,Kivijärvi,0176150-6,FI01761506
0,Kokemäki,0203925-9,FI02039259
0,Kokkola,0179377-8,FI01793778
0,Kolari,0191528-8,FI01915288
0,Konnevesi,0176227-7,FI01762277
0,Kontiolahti,0169048-8,FI01690488
0,Korsnäs,0179699-5,FI01796995
0,Koski Tl,0213007-9,FI02130079
0,Kotka,0160225-7,FI01602257
0,Kouvola,0512766-8,FI05127668
0,Kristiinankaupunki,0216509-5,FI02165095
0,Kruunupyy,0180065-9,FI01800659
0,Kuhmo,0186204-0,FI01862040
0,Kuhmoinen,0176357-9,FI01763579
0,Kumlinge,0205030-0,FI02050300
0,Kuopio,0171450-7,FI01714507
0,Kuortane,0180117-6,FI01801176
0,Kurikka,0209046-8,FI02090468
0,Kustavi,0134349-4,FI01343494
0,Kuusamo,0186418-5,FI01864185
0,Kyyjärvi,0176410-9,FI01764109
0,Kärkölä,0148268-9,FI01482689
0,Kärsämäki,0186511-0,FI01865110
0,Kökar,0205032-7,FI02050327
0,Lahti,0149669-3,FI01496693
0,Laihia,0180451-0,FI01804510
0,Laitila,0134480-9,FI01344809
0,Lapinjärvi,0203135-3,FI02031353
0,Lapinlahti,0172127-2,FI01721272
0,Lappajärvi,0180516-9,FI01805169
0,Lappeenranta,0162193-3,FI01621933
0,Lapua,0209113-7,FI02091137
0,Laukaa,0176478-2,FI01764782
0,Lemi,0162576-6,FI01625766
0,Lemland,0205034-3,FI02050343
0,Lempäälä,0150783-1,FI01507831
0,Leppävirta,0172231-2,FI01722312
0,Lestijärvi,0180774-6,FI01807746
0,Lieksa,0169321-6,FI01693216
0,Lieto,0134698-6,FI01346986
0,Liminka,0186553-2,FI01865532
0,Liperi,0169583-6,FI01695836
0,Lohja,1068322-0,FI10683220
0,Loimaa,1927453-8,FI19274538
0,Loppi,0150919-1,FI01509191
