key,value
kuntanumero,org_number
kuntanro,org_number
yhtiö,org_name
yhtiö (T),org_name
kunnan tai kuntayhtymän nimi,org_name
kunnan/-yhtymän nimi,org_name
kunnan nimi,org_name
kunta,org_name
kuntayhtymän nimi,org_name
kunnan/kuntayhtymän nimi,org_name
yhtiö,org_name
kaupungin nimi,org_name
kaupunki,org_name
kunnan y-tunnus,org_id
tositenumero,voucher
tosite numero,voucher
tapahtumanumero,voucher
tosite,voucher
tapahtuma,voucher
tositenro,voucher
tositteen numero,voucher
tositteen_numero,voucher
toimittajan nimi,suppl_name
toimittaja,suppl_name
toimittajanimi,suppl_name
reskontranumero,suppl_name
reskontranro,suppl_name
reskontranro (t),suppl_name
toimittajan y-tunnus,suppl_id
toimittaja y-tun/sotu,suppl_id
toimittajan sotu,suppl_id
toimittaja y-tunnus,suppl_id
toimittajanumero,suppl_number
toimittajan maakoodi,country
maa,country
maakoodi,country
maatunnus,country
toimittajan maatunnus,country
toimittajan maa,country
tositepäivämäärä,date
tositepaivamaara,date
tositepäivä,date
tositepaiva,date
tositepvm,date
tapaht.pvm,date
pvm,date
laskun päivä,date
laskun päivämäärä,date
laskun_paiva,date
laskun_paivamaara,date
kirjauspäivä,date
kirjauspäivämäärä,date
kirjauspvm,date
kirjaus pvm,date
tapaht.pvm,date
tapahtumapäivä,date
tositepaivamaara,date
tositepaiva,date
paivamaara,date
tapahtumapäivämäärä,date
kirjanpidon tilinumero,account_number
tilinumero,account_number
tilin numero,account_number
pääkirjatili,account_number
tilinro,account_number
tili,account_name
kirjanpidon tili,account_name
tili (t),account_name
tilin nimi,account_name
tilin_nimi,account_name
pääkirjatilin nimi,account_name
palveluluokka,service_cat
palvelun numero,service_cat
vastuualuetunnus,service_cat
palvelun nimi,service_cat_name
vastuualue,service_cat_name
kokonaissumma euroina,total
summa,total
rivin bruttosumma,total
tot eurot,total
rivin osuus verollinen,total
"eur, brutto",total
"€, brutto",total
euroa,total
bruttosumma,total
kokonaissumma_euroina,total
laskun summa ilman alv,price_ex_vat
laskun summa ilman alv:tä,price_ex_vat
rivin osuus veroton,price_ex_vat
rivin nettosumma,price_ex_vat
"eur, netto",price_ex_vat
"€, netto",price_ex_vat
nettosumma,price_ex_vat
summa_alv0_euroina,price_ex_vat
rivin osuus vero,vat_amount
rivin alv-summa,vat_amount
alv määrä euroina,vat_amount
"alv, €",vat_amount
"alv, eur",vat_amount
alv_maara_euroina,vat_amount
verkkolaskuosoite,invoice_account
